timestamp,x,y,z
2025-03-19T16:10:38.842433,-0.37,0.18,0.31
2025-03-19T16:10:39.376080,-0.55,0.24,0.24
2025-03-19T16:10:39.872348,-0.37,0.18,0.24
2025-03-19T16:10:40.376167,-0.49,0.18,0.24
2025-03-19T16:10:40.898874,-0.31,0.12,0.31
2025-03-19T16:10:41.413463,-0.31,0.24,0.37
2025-03-19T16:10:41.915911,-0.43,0.24,0.24
2025-03-19T16:10:42.444269,-0.43,0.12,0.31
2025-03-19T16:10:42.940527,-0.49,0.18,0.31
2025-03-19T16:10:43.352225,-0.31,0.18,0.31
2025-03-19T16:10:43.871310,-0.43,0.18,0.24
2025-03-19T16:10:44.793873,-0.43,0.24,0.31
2025-03-19T16:10:45.107828,-0.61,0.24,0.24
2025-03-19T16:10:45.389374,-0.49,0.18,0.31
2025-03-19T16:10:45.902952,-0.37,0.18,0.37
2025-03-19T16:10:46.425719,-0.49,0.18,0.24
2025-03-19T16:10:46.932302,-0.61,0.18,0.31
2025-03-19T16:10:47.437424,-0.55,0.18,0.24
2025-03-19T16:10:47.955906,-0.24,0.12,0.31
2025-03-19T16:10:48.462243,-0.61,0.24,0.24
2025-03-19T16:10:48.993153,-0.37,0.18,0.37
2025-03-19T16:10:49.492856,-0.31,0.18,0.37
2025-03-19T16:10:50.016410,-0.55,0.18,0.24
2025-03-19T16:10:50.528081,-0.49,0.18,0.24
2025-03-19T16:10:50.924379,-0.37,0.18,0.31
2025-03-19T16:10:51.456435,-0.49,0.24,0.24
2025-03-19T16:10:51.955965,-0.61,0.18,0.24
2025-03-19T16:10:52.469084,-0.31,0.18,0.31
2025-03-19T16:10:52.988800,-0.37,0.18,0.31
2025-03-19T16:10:53.484711,-0.18,0.12,0.43
2025-03-19T16:10:54.014392,-0.31,0.18,0.31
2025-03-19T16:10:54.517677,-0.55,0.18,0.31
2025-03-19T16:10:55.033674,-0.43,0.18,0.31
2025-03-19T16:10:55.548585,-0.31,0.24,0.31
2025-03-19T16:10:56.037888,-0.24,0.18,0.37
2025-03-19T16:10:56.552068,-0.61,0.18,0.24
2025-03-19T16:10:57.074565,-0.37,0.24,0.37
2025-03-19T16:10:57.582491,-0.49,0.18,0.31
2025-03-19T16:10:57.984917,-0.37,0.18,0.31
