x,y,z,timestamp
-0.55,0.12,0.24,1742368368.60649
-0.43,0.06,0.24,1742368369.8336885
-0.49,0.06,0.24,1742368370.2433014
-0.55,0.12,0.18,1742368370.3466654
-0.49,0.06,0.24,1742368370.4505162
-0.49,0.12,0.24,1742368370.5522404
-0.49,0.06,0.24,1742368370.7552187
-0.49,0.12,0.24,1742368371.2684503
-0.49,0.12,0.24,1742368371.7798502
-0.55,0.06,0.18,1742368372.189956
-0.49,0.06,0.24,1742368372.7008018
-0.49,0.18,0.18,1742368373.2129765
-0.49,0.12,0.24,1742368373.72491
-0.49,0.12,0.24,1742368374.2380278
-0.43,0.12,0.18,1742368375.1581564
-0.55,0.12,0.24,1742368375.5942922
-0.49,0.12,0.18,1742368375.7727196
-0.49,0.12,0.24,1742368376.2848604
-0.49,0.12,0.24,1742368376.7993026
-0.61,0.18,-0.73,1742368377.309231
-0.06,0.12,0.31,1742368377.820765
0.0,0.55,0.18,1742368378.3330176
-0.67,-0.06,0.18,1742368378.8472779
-0.43,0.31,0.0,1742368379.3584082
-0.37,0.49,0.24,1742368379.7664337
-0.98,0.55,-0.31,1742368380.2798975
-0.85,-0.31,1.46,1742368380.7918384
-0.55,0.18,0.24,1742368381.3033638
-0.49,0.12,0.0,1742368381.8143811
-0.43,0.12,0.24,1742368382.326531
-0.55,0.12,0.18,1742368382.8449173
-0.55,0.0,0.24,1742368383.3515673
-0.49,0.06,0.18,1742368383.862364
-0.49,0.12,0.24,1742368384.3746347
-0.55,0.06,0.24,1742368384.8867397
-0.55,0.0,0.24,1742368385.3986397
-0.49,0.12,0.18,1742368385.9106474
-0.55,0.12,0.18,1742368386.4225297
-0.49,0.06,0.24,1742368386.833397
-0.55,0.12,0.24,1742368387.3440883
-0.43,0.12,0.31,1742368387.8560586
0.49,0.06,0.37,1742368388.368251
-0.55,0.24,0.06,1742368388.8812063
-0.43,0.12,0.24,1742368389.393667
-0.43,0.12,0.12,1742368389.904239
-0.49,0.0,0.24,1742368390.8268054
-0.18,0.0,0.18,1742368391.1329398
-0.49,0.12,0.24,1742368391.4423616
-0.37,0.12,0.24,1742368391.9520822
-0.61,0.06,0.24,1742368392.465198
-0.55,0.12,0.24,1742368392.977611
-0.43,0.18,0.24,1742368393.4879706
-0.61,0.18,0.18,1742368393.8978298
-0.61,0.0,0.24,1742368394.4096835
-0.55,0.18,0.18,1742368394.921996
-0.49,0.24,0.24,1742368395.4339767
-0.61,0.0,0.18,1742368395.946033
-0.49,0.18,0.24,1742368397.1757016
